#,nodes,n_gw,cost,algo,cost_customer,5ymontlycostcustomer,type_cost,area,ratio,cluster_size,time,seed
201,676,1,468600.0,dijkstra,341.2964311726147,5.688273852876911,deploy,fauglia,100,100,17128280198,50
202,676,1,405326.0,dijkstra,295.2119446467589,4.920199077445982,radio_cost,fauglia,100,100,17128280198,50
203,676,1,25704.544000000005,dijkstra,18.721445010924985,0.3120240835154164,fiber_cost,fauglia,100,100,17128280198,50
204,676,1,169500.0,dijkstra,121.76724137931035,2.029454022988506,router_cost,fauglia,100,100,17128279162,50
205,676,1,475200.0,dijkstra,341.37931034482756,5.689655172413793,deploy,fauglia,100,100,17128279162,50
206,676,1,410492.0,dijkstra,294.89367816091954,4.914894636015325,radio_cost,fauglia,100,100,17128279162,50
207,676,1,25063.84,dijkstra,18.005632183908045,0.30009386973180074,fiber_cost,fauglia,100,100,17128279162,50
208,681,1,161000.0,dijkstra,112.90322580645162,1.881720430107527,router_cost,fauglia,100,100,17128279769,50
209,681,1,468400.0,dijkstra,328.4712482468443,5.474520804114071,deploy,fauglia,100,100,17128279769,50
210,681,1,393464.0,dijkstra,275.92145862552593,4.598690977092098,radio_cost,fauglia,100,100,17128279769,50
211,681,1,26452.934000000005,dijkstra,18.550444600280507,0.3091740766713418,fiber_cost,fauglia,100,100,17128279769,50
212,666,1,165000.0,dijkstra,116.44318983768525,1.9407198306280875,router_cost,fauglia,100,100,17128281051,50
213,666,1,468600.0,dijkstra,330.6986591390261,5.511644318983769,deploy,fauglia,100,100,17128281051,50
214,666,1,399128.0,dijkstra,281.6711362032463,4.694518936720772,radio_cost,fauglia,100,100,17128281051,50
215,666,1,23460.863999999998,dijkstra,16.556714184897668,0.2759452364149611,fiber_cost,fauglia,100,100,17128281051,50
216,701,1,168500.0,dijkstra,122.18999274836838,2.036499879139473,router_cost,fauglia,100,100,17128279224,50
217,701,1,479200.0,dijkstra,347.49818709209575,5.79163645153493,deploy,fauglia,100,100,17128279224,50
218,701,1,402523.0,dijkstra,291.8948513415518,4.864914189025864,radio_cost,fauglia,100,100,17128279224,50
219,701,1,22234.432,dijkstra,16.123591007976795,0.2687265167996133,fiber_cost,fauglia,100,100,17128279224,50
220,707,1,173000.0,dijkstra,126.46198830409357,2.107699805068226,router_cost,fauglia,100,100,17128278490,50
221,707,1,485200.0,dijkstra,354.67836257309943,5.91130604288499,deploy,fauglia,100,100,17128278490,50
222,707,1,418819.0,dijkstra,306.15423976608184,5.102570662768031,radio_cost,fauglia,100,100,17128278490,50
223,707,1,22316.066000000003,dijkstra,16.31291374269006,0.271881895711501,fiber_cost,fauglia,100,100,17128278490,50
224,680,1,164500.0,dijkstra,118.34532374100719,1.9724220623501199,router_cost,fauglia,100,100,17128278249,50
225,680,1,469700.0,dijkstra,337.9136690647482,5.63189448441247,deploy,fauglia,100,100,17128278249,50
226,680,1,397240.0,dijkstra,285.7841726618705,4.763069544364509,radio_cost,fauglia,100,100,17128278249,50
227,680,1,22936.868000000002,dijkstra,16.501343884892087,0.2750223980815348,fiber_cost,fauglia,100,100,17128278249,50
228,679,1,169000.0,dijkstra,120.45616535994299,2.00760275599905,router_cost,fauglia,100,100,17128280689,50
229,679,1,477200.0,dijkstra,340.128296507484,5.6688049417914,deploy,fauglia,100,100,17128280689,50
230,679,1,406738.0,dijkstra,289.90591589451174,4.831765264908529,radio_cost,fauglia,100,100,17128280689,50
231,679,1,26342.188,dijkstra,18.775615110477545,0.3129269185079591,fiber_cost,fauglia,100,100,17128280689,50
232,662,1,161000.0,dijkstra,115.74406901509705,1.9290678169182842,router_cost,fauglia,100,100,17128279343,50
233,662,1,459400.0,dijkstra,330.26599568655644,5.504433261442607,deploy,fauglia,100,100,17128279343,50
234,662,1,374783.0,dijkstra,269.43421998562184,4.4905703330936975,radio_cost,fauglia,100,100,17128279343,50
235,662,1,24921.438,dijkstra,17.91620273184759,0.2986033788641265,fiber_cost,fauglia,100,100,17128279343,50
236,669,1,158000.0,dijkstra,117.03703703703704,1.9506172839506173,router_cost,fauglia,100,100,17128280011,50
237,669,1,453700.0,dijkstra,336.0740740740741,5.601234567901234,deploy,fauglia,100,100,17128280011,50
238,669,1,387113.0,dijkstra,286.7503703703704,4.779172839506173,radio_cost,fauglia,100,100,17128280011,50
239,669,1,21514.111999999997,dijkstra,15.936379259259258,0.2656063209876543,fiber_cost,fauglia,100,100,17128280011,50
240,671,1,158500.0,dijkstra,112.1726822363765,1.8695447039396083,router_cost,fauglia,100,100,17128279526,50
241,671,1,459800.0,dijkstra,325.4069355980184,5.42344892663364,deploy,fauglia,100,100,17128279526,50
242,671,1,380988.0,dijkstra,269.63057324840764,4.493842887473461,radio_cost,fauglia,100,100,17128279526,50
243,671,1,23498.69,dijkstra,16.630353857041754,0.27717256428402925,fiber_cost,fauglia,100,100,17128279526,50
244,676,1,167000.0,dijkstra,119.11554921540656,1.9852591535901094,router_cost,fauglia,100,100,17128279708,50
245,676,1,471700.0,dijkstra,336.44793152639085,5.607465525439847,deploy,fauglia,100,100,17128279708,50
246,676,1,405421.0,dijkstra,289.17332382310985,4.819555397051831,radio_cost,fauglia,100,100,17128279708,50
247,676,1,22726.982,dijkstra,16.210400855920113,0.27017334759866857,fiber_cost,fauglia,100,100,17128279708,50
